ENSG00000149596	ENSG00000183671	ENSG00000231290	ENSG00000125398	ENSG00000147100	ENSG00000047936	ENSG00000184545	ENSG00000182326	ENSG00000000971	ENSG00000055813	ENSG00000272398	ENSG00000101335	ENSG00000163531	ENSG00000169122	ENSG00000168140	ENSG00000143195	ENSG00000198478	ENSG00000022267	ENSG00000133816	ENSG00000157168	ENSG00000261051	ENSG00000163430	ENSG00000250303	ENSG00000116574	ENSG00000105696	ENSG00000136630	ENSG00000111817	ENSG00000169213	ENSG00000138685	ENSG00000177606	ENSG00000109072	ENSG00000117009	ENSG00000100031	ENSG00000128849	ENSG00000132561	ENSG00000144749	ENSG00000261801	ENSG00000151623	ENSG00000260604	ENSG00000242732	ENSG00000110876	ENSG00000070404	ENSG00000114670	ENSG00000157214	ENSG00000077942	ENSG00000272341	ENSG00000172738	ENSG00000136542	ENSG00000174370	ENSG00000168939	ENSG00000146416	ENSG00000158828	ENSG00000085465	ENSG00000108379	ENSG00000163545	ENSG00000259426	ENSG00000235109	ENSG00000123933	ENSG00000129116	ENSG00000158023	ENSG00000164938	ENSG00000145284	ENSG00000186481	ENSG00000153237	ENSG00000162772	ENSG00000175003	ENSG00000204962	ENSG00000255495	ENSG00000073712	ENSG00000221926	ENSG00000277443	ENSG00000137502	ENSG00000272872	ENSG00000255052	ENSG00000113211	ENSG00000139508	ENSG00000258555	ENSG00000172296	ENSG00000144642	ENSG00000223749	ENSG00000026103	ENSG00000143674	ENSG00000165434	ENSG00000187189	ENSG00000279041	ENSG00000165113	ENSG00000165511	ENSG00000203780	ENSG00000163898	ENSG00000255874	ENSG00000278341	ENSG00000262728	ENSG00000087077	ENSG00000116299	ENSG00000165300	ENSG00000112655	ENSG00000153531	ENSG00000245573	ENSG00000165046	ENSG00000205213	ENSG00000198342	ENSG00000069431	ENSG00000224559	ENSG00000250486	ENSG00000097096	ENSG00000131149	ENSG00000237978	ENSG00000245522	ENSG00000050438	ENSG00000235927	ENSG00000108370	ENSG00000181619	ENSG00000160207	ENSG00000163364	ENSG00000174599	ENSG00000132613	ENSG00000259408	ENSG00000225210	ENSG00000013288	ENSG00000128641	ENSG00000156011	ENSG00000246273	ENSG00000150347	ENSG00000243701	ENSG00000271643	ENSG00000260285	ENSG00000229689	ENSG00000213760	ENSG00000279369	ENSG00000206195	ENSG00000108187	ENSG00000172671	ENSG00000276900	ENSG00000185404	ENSG00000213185	ENSG00000121989	ENSG00000148634	ENSG00000038382	ENSG00000095951	ENSG00000039560	ENSG00000288075	ENSG00000112851	ENSG00000203497	ENSG00000164983	ENSG00000244560	ENSG00000163517	ENSG00000249846	ENSG00000143322	ENSG00000244306	ENSG00000287769	ENSG00000047346	ENSG00000164663	ENSG00000250608	ENSG00000154898	ENSG00000214562	ENSG00000271122	ENSG00000140950	ENSG00000135924	ENSG00000226029	ENSG00000118113	ENSG00000179388	ENSG00000113504	ENSG00000160678	ENSG00000285526	ENSG00000261857	ENSG00000140522	ENSG00000160191	ENSG00000256673	ENSG00000131620	ENSG00000204287	ENSG00000177359	ENSG00000196826	ENSG00000178445	ENSG00000065361	ENSG00000173253	ENSG00000283378	ENSG00000236921	ENSG00000144481	ENSG00000123358	ENSG00000175567	ENSG00000162512	ENSG00000091129	ENSG00000162723	ENSG00000184599	ENSG00000284634	ENSG00000105855	ENSG00000186564	ENSG00000198598	ENSG00000164778	ENSG00000111252	ENSG00000091409	ENSG00000173599	ENSG00000188763	ENSG00000100994	ENSG00000177556	ENSG00000231007	ENSG00000028137	ENSG00000231245	ENSG00000205927	ENSG00000110031	ENSG00000100784	ENSG00000124126	ENSG00000182957	ENSG00000185716	ENSG00000147439	ENSG00000012124	ENSG00000110063	ENSG00000143842	ENSG00000170545	ENSG00000122966	ENSG00000182134	ENSG00000148180	ENSG00000132016	ENSG00000029639	ENSG00000175471	ENSG00000110427	ENSG00000198870	ENSG00000153551	ENSG00000197329	ENSG00000131188	ENSG00000250241	ENSG00000125827	ENSG00000117676	ENSG00000115935	ENSG00000097021	ENSG00000167393	ENSG00000166025	ENSG00000114315	ENSG00000183682	ENSG00000174236	ENSG00000224189	ENSG00000066117	ENSG00000255152	ENSG00000186603	ENSG00000177679	ENSG00000070159	ENSG00000133315	ENSG00000198355	ENSG00000130164	ENSG00000154146	ENSG00000186806	ENSG00000106665	ENSG00000273542	ENSG00000168758	ENSG00000167775	ENSG00000186193	ENSG00000138311	ENSG00000083807	ENSG00000197586	ENSG00000184640	ENSG00000176438	ENSG00000285816	ENSG00000021762	ENSG00000131697	ENSG00000165233	ENSG00000012061	ENSG00000166886	ENSG00000137700	ENSG00000228397	phenotype
waizenegger.Sample1.pdx1.P	17.2598323662153	12.150225660864	45.9090909090909	66.7762733720181	53.3623468729852	7.05673758865248	27.147001934236	68.5912314635719	83.3107672469375	5.48033526756931	46.3926499032882	82.0760799484204	60.6125080593166	28.2043842682141	57.6982591876209	13.4364925854288	47.6047711154094	92.7111540941328	61.4893617021277	30.2127659574468	12.4049000644745	90.9252095422308	16.0573823339781	42.2533849129594	67.0051579626048	60.2353320438427	65.7221147646679	41.6731141199226	51.3829787234043	71.428110896196	41.8439716312057	12.5338491295938	38.0464216634429	19.0328820116054	55.4609929078014	63.1850419084462	41.4410058027079	13.8781431334623	27.9819471308833	54.2263056092843	29.3326885880077	75.3965183752418	56.7375886524823	36.1218568665377	79.1360412637008	65.2611218568665	20.4642166344294	54.9226305609284	38.6976144422953	35.2836879432624	81.0509348807221	79.0006447453256	42.9883945841393	56.1637653127015	47.9690522243714	55.2224371373308	46.7440361057382	78.0560928433269	68.8104448742747	46.0573823339781	50.0419084461638	53.9716312056738	65.4738878143133	34.7743391360413	51.9181173436493	11.5054803352676	28.8039974210187	43.6105738233398	77.5467440361057	89.5647969052224	86.5957446808511	63.7911025145068	87.2791747259832	40.889748549323	53.9780786589297	60.9509993552547	0.00322372662798195	39.4422952933591	61.8794326241135	56.8471953578337	87.1663442940039	44.5099935525467	61.5892972275951	80.0934880722115	10.1160541586073	57.6015473887814	41.3217279174726	61.9825918762089	21.076724693746	57.5596389426177	34.2263056092843	49.0683430045132	93.4332688588008	33.0947775628627	43.926499032882	85.7833655705996	59.3907156673114	48.3752417794971	68.3043197936815	58.5074145712444	37.7627337201805	56.7343649258543	31.5538362346873	55.3030303030303	29.1392649903288	71.2217923920052	70.0838168923275	33.5074145712444	54.7453255963894	45.8252740167634	49.9161831076725	46.5022566086396	42.8852353320438	78.388136686009	59.6679561573179	75.2321083172147	55.3320438426821	92.2630560928433	68.7169568020632	83.0045132172792	51.8826563507415	49.8033526756931	66.0992907801418	69.1940683430045	41.2088974854932	52.7659574468085	45.892972275951	69.3584784010316	54.4229529335912	93.3397807865893	60.8349451966473	51.4184397163121	55.5963894261767	83.749194068343	70.3932946486138	61.4700193423598	79.2714377820761	84.2037395228885	57.849774339136	75.5641521598968	53.3236621534494	84.5970341715023	70.7994842037395	50.4545454545455	79.461637653127	42.498388136686	69.4874274661509	63.214055448098	94.3617021276596	36.5828497743391	83.3784655061251	50.4674403610574	26.250805931657	22.1308833010961	52.321083172147	67.5209542230819	72.6531270148291	84.7969052224371	46.7117988394584	12.3726627981947	58.1850419084462	64.4455190199871	98.8588007736944	40.3868471953578	99.4003868471954	50.1128304319794	58.2495164410058	56.2024500322373	63.6492585428756	89.1328175370729	56.5860735009671	0.00322372662798195	84.6937459703417	92.4887169568021	62.2082527401676	12.6531270148291	70.8833010960671	67.5112830431979	76.7182462927144	91.3378465506125	90.5770470664088	55.712443584784	40.0741457124436	52.1792392005158	59.9097356544165	68.3720180528691	44.1715022566086	32.3629916183108	47.6176660219213	95.361057382334	92.669245647969	72.2727272727273	36.6892327530625	98.1141199226306	98.3526756931012	27.7401676337847	53.565441650548	0.00322372662798195	36.5377176015474	88.6492585428756	46.3862024500322	65.354609929078	88.391360412637	91.7117988394584	89.5390070921986	54.2327530625403	81.9245647969052	68.4719535783366	89.4422952933591	72.7724049000645	71.241134751773	98.1624758220503	69.1747259832366	88.3397807865893	60.5222437137331	66.2153449387492	54.3036750483559	92.5725338491296	74.5873629916183	50.8284977433914	39.8613797549968	91.8923275306254	78.7782076079948	93.9393939393939	96.0992907801418	64.7582205029014	91.6989039329465	78.5299806576402	44.3036750483559	59.28110896196	60.8736299161831	94.0457769181173	65.4513217279175	68.0206318504191	53.0754352030948	76.8149580915538	89.7421018697614	74.5293359123146	75.0999355254674	77.8207607994842	54.3294648613798	73.6041263700838	62.669245647969	85.5512572533849	92.9206963249516	65.4835589941973	63.5009671179884	88.4977433913604	92.3533204384268	92.2791747259832	55.0386847195358	50.0483558994197	57.6305609284333	64.9677627337202	91.3217279174726	97.2469374597034	91.1734364925854	81.8955512572534	34.64861379755	R
waizenegger.Sample2.pdx2.P	23.6253590480098	7.86828067295856	47.2780741348653	70.3460538913965	50.0649705922582	2.56462864177267	23.792914785939	61.6057994802353	78.8845575160717	0.0034195048556969	32.9229927506497	83.3333333333333	55.2386814389276	20.8658186294625	65.3398987826563	15.7092053070715	44.8946792504445	89.4439885104637	64.9432362193954	37.6453289563671	5.46094925454794	94.009027492819	20.4554780467788	35.6996306934756	74.6683080289974	65.7023662973601	66.4888524141704	38.7395705101901	44.6176993571331	70.667487347832	34.1369169744221	0.376145534126658	33.6513472849131	22.5926685815894	55.5464368759404	66.2836821228286	39.4542470250308	21.1701545616195	20.3905074545206	50.8070031459445	24.3879086308303	76.6413623307345	48.6287785528655	28.5699630693476	77.1782245930789	61.3288195869238	9.15401449870059	51.0258514567091	37.782109150595	32.5878812747914	76.8533716317877	77.267131719327	46.3719053481056	53.4400218848311	45.6503898235535	52.52701408836	36.8520038298454	82.1536041581179	71.7309533579538	44.3441389686773	46.7138558336753	53.3818903022842	63.5856927916838	31.9792094104774	47.8046778826426	0.0034195048556969	31.9963069347558	42.9079469292846	76.6823963890029	87.6419094515114	84.7558473533032	63.0454110244837	82.5947202845028	29.4350977978389	53.2074955546437	57.6460128573383	6.35685952674053	38.4694296265901	56.8766242648065	54.2880590890439	86.8280672958556	41.2871016276843	53.3682122828614	80.0129941184516	3.99056216659828	53.8777185063603	35.4363288195869	55.9978115168924	16.629052113254	53.2245930789222	31.4355081384216	37.5085487621392	95.623033784708	24.7640541649569	43.7901791820544	86.575023936534	57.3656134591711	48.0508822322528	65.4971960060183	57.5742032553686	26.8670496512105	51.8978251949118	31.3226644781836	50.1572972233621	25.8651347284913	70.2024346874573	65.8220489673095	33.2854602653536	52.9954862535905	34.7319108193134	44.6997674736698	41.8102858706059	36.7528381890302	74.097250718096	55.7858022158391	82.3827109834496	54.6060730406237	94.2073587744495	72.5482150184653	82.0099849541786	47.8662289700451	44.4501436192039	62.9359868691014	72.3806592805362	35.0088907126248	51.3609629325674	43.7423061140747	66.3349746956641	55.7721241964164	93.4242921624949	54.9001504582137	44.2962659006976	48.5432909314731	80.6661195458898	70.0485569689509	60.7816988100123	75.6702229517166	81.5073177403912	52.2705512241827	76.2549582820408	48.7997537956504	82.3792914785939	69.8228696484749	46.0265353576802	82.2322527697989	40.9690876761045	68.0755026672138	59.5677745862399	93.6739160169607	33.4564355081384	81.6167418957735	48.4680618246478	23.9125974558884	23.9912460675694	48.0577212419642	62.4709342087266	74.4084256599644	84.1847900424019	45.1682396389003	7.43058405142935	60.8808644508275	68.9919299685406	97.8320339214882	0.0034195048556969	99.16564081521	49.0117630967036	50.5163452332102	40.2851867049651	61.2193954315415	83.4324989741485	54.4829708658186	0.0034195048556969	80.8165777595404	90.5313910545753	55.4438517302695	17.6583230748188	64.1601696074408	61.8314868007113	67.7780057447682	92.6036109971276	88.8660921898509	54.7394337299959	14.936397209684	50.034195048557	56.035426070305	62.0947886745999	35.5491724798249	40.72630283135	48.8236903296403	95.1648201340446	89.2012036657092	71.6659827656955	38.5788537819724	98.1021748050882	97.9141020380249	30.990972507181	49.8974148543291	0.0034195048556969	35.3440021884831	84.386540828888	41.1947749965805	66.4067842976337	82.659690876761	89.9740117630967	91.3110381616742	46.3684858432499	82.7349199835864	67.3163725892491	86.010805635344	68.7594036383532	69.6621529202571	98.071399261387	70.4588975516345	85.8877034605389	56.0764601285734	63.3155519080837	50.6873204759951	87.9633429079469	69.2586513472849	60.4089727807414	38.1787717138558	90.1073724524689	76.39857748598	94.0876761045001	96.6317877171386	69.9630693475585	90.4048693749145	78.238271098345	46.7412118725209	50.4342771166735	55.4233347011353	94.1355491724798	64.1464915880181	64.4439885104637	50.5847353303242	73.4714813295035	87.5393243058405	76.7815620298181	75.0307755437013	81.0320065654493	48.3552181644098	78.5802215839146	79.298317603611	89.7312269183422	93.8893448228696	67.3300506086719	62.4675147038709	86.4690192860074	93.0789221720695	94.3680755026672	51.5421966899193	43.9508959102722	64.0746819860484	69.5048556968951	94.2176172890165	97.1925865134728	91.9915196279579	79.2059909725072	23.7484612228149	R
waizenegger.Sample3.pdx3.P	19.8965788842848	14.4070408547652	48.2312249580494	71.5420704770385	48.3408102462244	7.64357385021061	33.0091435224821	57.4774836478203	76.0624636142598	0.0034245402554707	31.4646758672648	84.8121639669874	58.1829389404472	36.115201534194	61.4157049416116	6.24636142597856	43.659463716996	92.9968151775624	65.1861237628848	32.1461593781035	5.04092325605288	92.7742200609568	16.8384644361494	31.6530255813157	72.5009417485703	66.5388171637958	66.4942981404746	39.4986473065991	46.0634909763364	73.5180302044451	36.2453340639019	19.2664634772782	14.1056813122838	18.174035135783	52.0735591246875	62.8368891476319	41.6047395637136	6.72922160199993	20.4376562446492	49.8476079586316	24.249169548988	77.4048833944043	53.2755727543577	29.0092805040923	77.6993938563748	59.8267182630732	14.7631930413342	48.4880654772097	37.1083182082805	29.4989897606246	77.4904969007911	76.559021951303	39.4712509845553	56.3919043868361	47.1524947775761	47.923016335057	43.2964624499161	83.7094620047259	69.6174788534639	39.5363172494093	47.3339954111161	54.9330502380055	66.1655422759494	17.9754118009657	57.7959658915791	27.3826238827437	25.7799390431835	36.23163590288	75.6823396459025	89.3702270470189	83.7676791890689	54.0084243690285	86.0621211602342	21.8143214273484	52.9468168898325	58.2959487688778	4.82517721995822	32.608472312592	56.0426012807781	58.6726481969796	86.3155371391391	42.5225163521797	54.004999828773	79.5931646176501	17.1227012773535	53.7276120680799	34.9748296291223	53.4981678709633	22.5334748809972	50.9092154378275	34.194034450875	45.9778774699497	95.7912400260265	28.2558816478888	35.7248039450704	85.2915996027533	56.1179411663984	50.9468853806377	66.5319680832848	59.4465942947159	33.0742097873361	52.8577788431903	30.9578439094552	47.7860347248382	22.9923632752303	70.5455292626965	62.1280093147495	32.8276428889422	51.0119516454916	42.721139686997	46.9983904660799	43.0259237697339	35.2659155508373	75.7200095887127	54.5221054073491	80.4321769802404	52.5221738981542	93.8255539193863	70.658539091127	81.2095476182322	47.8168555871374	43.0875654943324	62.1040375329612	71.771514674155	37.5089894181706	50.3064963528646	39.6493270778398	66.3162220471902	54.7447005239547	93.9728091503716	54.3885483373857	37.0432519434266	48.0189034622102	80.3705352556419	66.0525324475189	60.6246361425979	79.134276223417	82.6615526865518	50.1660902023903	74.3262217047361	47.0737303517003	80.7027156604226	68.7270983870415	45.5498099380158	83.6478202801274	51.4537173384473	67.9017841854731	57.8370603746447	94.1132153008459	38.8034656347385	81.942399232903	44.9881853361186	28.5229957878155	19.1671518098695	49.3613232423547	62.3334817300777	73.0557172699565	85.1100989692134	45.7792541351324	10.0681483510839	64.7786034724838	65.9703434813876	97.9110304441629	33.5776172048902	99.1164686140886	37.9576041916373	53.4844697099414	46.9059278791822	64.0902708811342	78.4801890346221	55.402212253005	0.0034245402554707	78.0315742611554	89.0277730214719	53.0324303962193	0.0034245402554707	64.1039690421561	60.487654532379	73.5796719290435	94.3015650148968	86.1922536899421	53.8748672990651	22.7286736755591	47.2860518475395	55.176192596144	64.2683469744187	30.7249751720831	33.7693914591966	46.001849251738	94.21595150851	88.3839594534434	75.6309715420705	30.4989555152221	97.9144549844183	97.6678880860244	30.622238964419	45.6867915482347	0.0034245402554707	28.1839663025239	82.4937502140338	38.108283962878	65.2717372692716	81.8430875654943	90.236635731653	89.5551522208143	54.7173042019109	83.0142803328653	66.8093558439779	86.2299236327523	70.6242936885723	69.5832334509092	98.130201020513	68.905174480326	85.7950070203075	55.6316564501216	61.0424300537653	49.1798226088148	87.9798637032978	71.3845416252868	56.9055854251567	27.7216533680353	88.9764049176398	75.7268586692237	92.6851820143146	96.2980719838362	69.8537721310914	88.7401116400123	78.4459436320674	46.7278517858977	50.4640252046163	56.7275093318722	94.390603061539	64.4258758261703	63.4498818533612	52.0667100441766	66.7031950960584	88.1271189342831	75.0487996986405	78.0897914454984	81.4937844594363	46.6730591418102	76.1754734426903	79.5520701345844	88.9284613540632	92.1475291942057	65.3333789938701	61.0972226978528	86.6956611074963	92.3838224718332	93.400910927708	51.3270093489949	41.2862573199548	67.9942467723708	69.2442039656176	93.6474778261018	97.1644806684703	92.0516420670525	80.8739426731961	17.7836375466594	R
waizenegger.Sample4.pdx4.P	14.3359806976978	9.42662779397473	50.1591769712811	73.6201869910526	53.8018162930197	6.5212291813277	27.2309909185349	59.7466572836031	76.287657920311	3.12992191950672	30.8568747696123	85.489762407426	59.1065983043464	21.8625381186958	67.9266780603867	20.006031969438	44.8275862068966	93.0531818638785	66.4387922656747	31.8622030092825	11.7556382158775	92.1651419188365	15.1804564190208	38.8626386515197	73.9184343688214	68.4997151569988	67.3234811165846	41.285479709125	44.8510438658222	75.0745618444422	33.9767434067223	0.311651754297778	16.842599108609	26.7082202339064	47.9642103146677	61.891357528233	42.974431151771	7.70416541000637	24.8148520491941	50.8696089273148	24.9388425320867	76.0028149190711	55.0886364397976	33.9331791830032	77.0081431587413	60.1923528031902	14.9023156060454	49.2912435910325	40.8732951308602	30.494956603331	75.3694581280788	77.0148453470058	41.3927147213565	56.5296069166583	45.4844006568145	52.8735632183908	42.7566100331758	84.4978385442847	72.4372507623739	44.9582788780537	51.0438658221909	52.9070741597131	65.2189940015415	26.0715123487819	41.1346804731745	7.53996179752689	36.1717100633357	41.7512817935056	76.716597969237	89.9668241680909	84.330283837673	61.134010254348	81.3277034951912	35.1127643175497	56.0906135853356	61.834388927985	0.00335109413223417	37.2038470560638	58.4631882309574	56.4960959753359	87.5272276398244	42.4449582788781	55.0986897221943	79.8465198887437	20.2640662176201	55.2293823933514	37.5255520927583	58.0677591233538	18.1495258201803	53.2455346670688	35.732716732013	37.2608156563118	95.65027981636	30.280486578868	45.4140276800375	86.562112529741	58.714520290875	46.9320733219396	63.4898294293087	60.4906001809591	33.0015750142421	53.1349485607051	31.8555008210181	50.929928621695	27.5593981434939	71.7335209946047	65.2558560369961	38.9464160048256	54.5524613786401	41.7814416406957	44.9180657484669	43.718374049127	41.9087832177206	75.0108910559298	57.0791863543447	82.8658557018867	50.5143929492979	93.7166985020609	72.738849234275	81.468449448745	50.2630608893804	45.5916356690459	65.5339968499715	71.4788378405549	39.5093998190409	52.7361683589692	47.2705338292953	63.5434469354244	57.6488723568245	92.4399316376797	56.7708856941791	44.2914111457391	53.248885761201	80.938976575852	69.133071947991	60.4001206393888	77.4605408665929	84.916725310814	52.9740960423578	77.8023524680808	46.4997821788814	83.5159679635401	70.0579739284877	47.9139439026842	83.5360745283335	44.6499782178881	67.3905029992292	59.230588787239	94.1389363627224	35.8366006501123	80.5971649743641	50.1156127475621	30.8166616400255	24.8316075198552	53.6007506450856	64.3946248450119	72.9432659763413	84.0085788009785	43.0481552226802	4.81217117388827	66.6532622901377	69.6089273147683	97.8620019436346	32.6262524714319	99.1019067725612	40.5918032237526	57.1093462015348	48.1719781508663	62.0254012935223	72.0552260312992	54.0531483529372	0.00335109413223417	78.2078348580812	89.7758118025535	52.6993063235146	19.5569853557186	63.5736067826145	57.9940350524446	76.5725009215509	93.4285044066888	86.8603599075098	58.9256392212057	21.2191280453068	50.5646593612815	52.8836165007875	63.4161053583995	37.364699574411	46.851647062766	49.1739552964043	94.8828792600784	89.0218156228008	71.5525619114641	38.3465701551557	97.7882778727254	97.6475319191716	37.3311886330887	48.0010723501223	0.00335109413223417	35.474682483831	81.9107938741999	40.7291980831742	68.7476961227841	82.8692067960189	90.2851781106531	89.9132066619751	46.4428135786334	82.4201601822995	66.3784725712945	86.3979089172615	68.8448778526189	72.0887369726216	98.1334405683456	67.2665125163366	87.0714788378406	56.8178010120304	62.192956000134	51.3823263295466	89.1692637646191	70.5874468013807	66.2477799001374	32.1436949163902	89.6618746020576	75.8520156831205	94.1523407392514	96.25012566603	66.8643812204685	89.8193760262726	79.4846017224624	48.2054890921886	54.4519285546731	58.9658523507925	93.917764149995	65.8422975101371	65.1184611775745	53.5571864213666	71.6631480178278	88.7905901276767	78.4390603532053	75.6610033175832	84.1191649073423	46.9454776984686	79.079119332462	76.9947387822124	89.625012566603	93.545792701317	67.7557722596428	62.4710968131095	85.2082705003183	92.3796119432995	93.8540933614825	52.6590931939278	46.3188230957408	64.5085620455079	69.8703126570825	93.2911095472672	97.2420495291713	91.5317851278442	79.665560805603	21.1956703863812	NA
waizenegger.Sample5.pdx5.R	6.54675763214113	30.7456412376818	85.3628281992971	74.3022534628902	42.9295017572876	41.961270760113	31.4795672248639	58.5004479360485	85.0596099510716	21.3183102473985	24.0403831576046	85.9658190338364	62.649024877679	21.890290124733	61.2948797463993	33.0645717042244	42.1335538556957	82.3306457170422	77.2861966783819	48.9180621597409	17.5866583970781	94.862518089725	31.4347736200124	33.2299634759837	46.6025773551099	63.4346357935359	79.0572669009717	54.5792846805871	54.5551650472056	84.9390117841637	31.5174695058921	0.420370753221694	35.8693405003101	29.8704431121218	54.4276755564744	72.5174005926538	61.8909792571153	14.2994969333609	34.5668802977052	36.8858107642478	37.5508235131969	83.3643442905382	61.7118048377093	46.9057956033354	73.1651850320447	49.4452484322238	23.5407621804149	52.6290400385914	61.7738267521191	26.1560195713597	80.8145544759148	85.9416994004548	44.5455171938529	58.6279374267797	68.2206601888223	55.0031010957205	49.4176831369306	83.1886155330439	89.1289366687341	49.0593342981187	49.7622493280959	64.1547791330715	67.0491351388602	16.4564812900558	59.3170698091103	37.9608572806836	30.4079663703397	39.7594927985666	77.9684377368893	90.2074288470815	84.0431396871339	58.0904141685618	75.4358762318241	29.3019088966991	53.1148783681345	44.1320377644546	0.00344566191165323	59.3239611329336	60.1302460202605	72.7827165598512	88.0676727999449	51.977809937289	61.5050651230101	80.9075873475295	3.85914134105162	58.6176004410447	40.2212114947281	50.0930328716146	19.6712838536283	52.7599751912342	38.5983047343395	49.5038246847219	97.1263179656812	32.1790365929295	56.4950727034663	84.8907725174006	55.9747777548067	47.2400248087658	75.9217145613672	56.9223347805113	26.7417820963407	54.1347942939839	32.0584384260216	51.3196885121632	26.9623044586865	71.5457239335676	65.2711735924471	52.7048446006478	54.0589897319275	46.1580869685067	49.3763351939908	46.4096202880573	35.3766108469437	81.3279581007512	60.1612569774654	91.0137137344084	55.2580800771828	91.9681620839363	70.598166907863	83.7984976914065	50.7235890014472	58.4418716835504	58.6141547791331	81.696643925298	42.0749776031976	53.3905313210668	53.170008958721	57.1807594238853	54.9307421955758	91.5546826545379	58.3936324167873	47.2710357659706	56.4743987319964	80.7663152091517	72.7723795741162	56.915443456688	76.1112259665082	88.7361312108056	56.8499758803666	74.3883950106815	46.0133691682172	80.7421955757701	68.4342912273448	45.6619116532286	78.1682861277651	63.3381572600096	61.4085865894838	63.5380056508855	93.5979601681483	38.4087933291985	70.1364482117015	46.0409344635104	32.3478740266005	24.6020260492041	46.9368065605403	63.7240713941148	78.1924057611467	82.8061470608504	41.2928123492523	0.00344566191165323	18.7512921232169	61.6325546137413	74.6295913444973	0.00344566191165323	84.5530976500586	7.08428089035904	13.8171042657294	41.4823237543932	66.3048721659431	52.7496382054993	44.7315829370822	0.00344566191165323	58.297153883261	55.8989731927503	13.8102129419061	0.00344566191165323	25.7769967610778	36.8410171593963	56.0574736406864	89.7215905175384	56.657018813314	27.682447798222	41.5236716973331	35.0423816415133	45.9272276204259	53.6592929501757	28.8367445386259	17.7933981117773	41.1412032251395	76.4351181862036	77.4791537454345	67.6486803114878	26.6521948866377	95.1898559713321	97.7327544621322	43.9804286403418	34.191303149335	0.00344566191165323	10.8986286265592	85.6901660809041	40.0006891323823	71.1391358279926	64.2374750189511	77.772035007925	83.2403004617187	43.2637309627179	83.32644200951	68.6617049135139	83.3092136999518	77.3654469023499	60.3266487492247	96.4165116118806	57.3013575907932	77.7272414030735	66.1119150988905	65.9361863413962	47.3985252567018	85.1870994418028	55.1236992626283	70.1295568878782	37.5646061608435	78.5714285714286	75.8631383088691	86.675625387637	95.9685755633657	71.2631796568121	69.1613258907036	69.5679139962787	44.0424505547516	43.7323409827028	50.1653917717594	93.0018606574323	68.1103990076494	69.2957067052581	48.3564192681414	62.7558403969403	86.8100062021914	79.0400385914134	68.0414857694163	75.7218661704914	47.4846668044931	70.518916683895	85.652263799876	80.2632485700503	91.7304114120323	71.2080490662256	63.3416029219213	88.1607056715595	89.2150782165254	93.9632003307836	53.2079112397492	43.0604369099304	58.5865894838398	69.4128592102543	90.4796361381021	95.5964440769072	84.8597615601957	80.8765763903246	33.2782027427469	NA
